21,Reconstructions of damaged churches have begun,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/09eddbc4adf4e1cf5985415d95c7b10c_S.jpg"" alt=""Reconstructions of damaged churches have begun"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">Secretary to the Ministry of Housing, Development and Cultural Affairs Bernard Wasantha, states that reconstruction activities of the churches damaged by Easter Sunday (21) terrorist attack are being commenced under guidance of Hon. Minister of Housing, Development and Cultural Affairs, Sajith Premadasa.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/09eddbc4adf4e1cf5985415d95c7b10c_S.jpg"" alt=""Reconstructions of damaged churches have begun"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">Secretary to the Ministry of Housing, Development and Cultural Affairs Bernard Wasantha, states that reconstruction activities of the churches damaged by Easter Sunday (21) terrorist attack are being commenced under guidance of Hon. Minister of Housing, Development and Cultural Affairs, Sajith Premadasa.</p>
</div>",https://www.news.lk/news/sri-lanka/item/25296-reconstructions-of-damaged-churches-have-begun,"Thu, 02 May 2019 16:12:11 +0530"
22,Search operation underway to find suspicious vehicles,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/017453a000634659ac27079b35c3654d_S.jpg"" alt=""Search operation underway to find suspicious vehicles"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;""></p>
<p style=""text-align: justify;"">A special search operation on vehicles will be conducted in Vavuniya based on the information received by the security forces, stated the Police. Accordingly, security forces will set up roadblocks in several areas of Vavuniya and carry out the search operations.</p>
<p style=""text-align: justify;"">Vehicles arriving from the South will be subjected to special scrutiny and particular attention will be given to several vehicles with number plates identified through the information received by intelligence units, the Police said.</p>
<p style=""text-align: justify;"">Meanwhile, many search operations were carried out in several areas of the island today (02). Suspicious items and explosives have been discovered in these missions.</p></div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/017453a000634659ac27079b35c3654d_S.jpg"" alt=""Search operation underway to find suspicious vehicles"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;""></p>
<p style=""text-align: justify;"">A special search operation on vehicles will be conducted in Vavuniya based on the information received by the security forces, stated the Police. Accordingly, security forces will set up roadblocks in several areas of Vavuniya and carry out the search operations.</p>
<p style=""text-align: justify;"">Vehicles arriving from the South will be subjected to special scrutiny and particular attention will be given to several vehicles with number plates identified through the information received by intelligence units, the Police said.</p>
<p style=""text-align: justify;"">Meanwhile, many search operations were carried out in several areas of the island today (02). Suspicious items and explosives have been discovered in these missions.</p></div>",https://www.news.lk/news/political-current-affairs/item/25294-search-operation-underway-to-find-suspicious-vehicles,"Thu, 02 May 2019 14:40:40 +0530"
23,"5,900 Army absentees report to service during general amnesty",sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/b56122f7d616f498e05c7df13145b2c7_S.jpg"" alt=""5,900 Army absentees report to service during general amnesty"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">5,900 Army absentees have reported to military service so far, during the General Amnesty period announced on April 22nd, says Military Spokesman Brigadier Sumith Atapattu.A General Amnesty period starting from April 22nd to May 10th was granted to enable them to receive a discharge from service under four categories.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/b56122f7d616f498e05c7df13145b2c7_S.jpg"" alt=""5,900 Army absentees report to service during general amnesty"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">5,900 Army absentees have reported to military service so far, during the General Amnesty period announced on April 22nd, says Military Spokesman Brigadier Sumith Atapattu.A General Amnesty period starting from April 22nd to May 10th was granted to enable them to receive a discharge from service under four categories.</p>
</div>",https://www.news.lk/news/political-current-affairs/item/25292-5-900-army-absentees-report-to-service-during-general-amnesty,"Thu, 02 May 2019 13:26:38 +0530"
24,Shiv Sena asks  ban burqa in India,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/9f5add27632f32f339d9fbcd4a02f567_S.jpg"" alt=""Shiv Sena asks  ban burqa in India"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">India Today ; The Shiv Sena made a controversial demand in its editorial Saamna on Wednesday. The Sena has demanded that Prime Minister Narendra Modi must ban burqa in public places across the country as it poses a threat to national security.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/9f5add27632f32f339d9fbcd4a02f567_S.jpg"" alt=""Shiv Sena asks  ban burqa in India"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">India Today ; The Shiv Sena made a controversial demand in its editorial Saamna on Wednesday. The Sena has demanded that Prime Minister Narendra Modi must ban burqa in public places across the country as it poses a threat to national security.</p>
</div>",https://www.news.lk/news/world/item/25291-shiv-sena-asks-ban-burqa-in-india,"Thu, 02 May 2019 13:13:36 +0530"
25,Kumar Sangakkara nominated as next MCC president,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/a1ba78f8af440340012b19facbd957bd_S.jpg"" alt=""Kumar Sangakkara nominated as next MCC president"" /></div><div class=""K2FeedIntroText""><p>Former Sri Lanka batsman Kumar Sangakkara has been appointed as the first non-British president of Marylebone Cricket Club (MCC). Sangakkara will begin his one-year tenure in October, having been nominated by the incumbent, Anthony Wreford at the MCC Annual General Meeting on Wednesday held at Lord’s.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/a1ba78f8af440340012b19facbd957bd_S.jpg"" alt=""Kumar Sangakkara nominated as next MCC president"" /></div><div class=""K2FeedIntroText""><p>Former Sri Lanka batsman Kumar Sangakkara has been appointed as the first non-British president of Marylebone Cricket Club (MCC). Sangakkara will begin his one-year tenure in October, having been nominated by the incumbent, Anthony Wreford at the MCC Annual General Meeting on Wednesday held at Lord’s.</p>
</div>",https://www.news.lk/news/sports-travel/item/25290-kumar-sangakkara-nominated-as-next-mcc-president,"Thu, 02 May 2019 12:56:29 +0530"
26,Asantha de Mel appointed National Team manager,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/696578b9f6cde8971ce46fab69cb8809_S.jpg"" alt=""Asantha de Mel appointed National Team manager"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">Sri Lanka Cricket has appointed chief selector Asantha de Mel as manager of the national team while Chandima Mapatuna will travel with the national team for the World Cup as the logistic manager. Also the board made changes to the Sri Lanka A team coaching staff with Roy Dias replacing Avishka Gunawardena. Gunawardena who has had a successful stint with the A team has been appointed as head coach of the National Emerging team.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/696578b9f6cde8971ce46fab69cb8809_S.jpg"" alt=""Asantha de Mel appointed National Team manager"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">Sri Lanka Cricket has appointed chief selector Asantha de Mel as manager of the national team while Chandima Mapatuna will travel with the national team for the World Cup as the logistic manager. Also the board made changes to the Sri Lanka A team coaching staff with Roy Dias replacing Avishka Gunawardena. Gunawardena who has had a successful stint with the A team has been appointed as head coach of the National Emerging team.</p>
</div>",https://www.news.lk/news/sports-travel/item/25289-asantha-de-mel-appointed-national-team-manager,"Thu, 02 May 2019 12:53:40 +0530"
27,Showers expected in several places,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/54ee7f56770975d15ba248f23cecd268_S.jpg"" alt=""Showers expected in several places"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">The Extremely Severe Cyclonic Storm ‘FANI’ (pronounced as FONI) over West-central Bay of Bengal to the Northeast of Sri Lanka, was located near latitude 15.2N, Longitude 84.1E at 11.30 p.m. of 01st May 2019, about 750 km northeast of Jaffna. It is likely to move north-northeastwards while moving away from the island towards the Odisha coast of India.Cloudy skies, Strong winds and showery conditions are expected to continue over the island and surrounding sea areas. Strong winds up to 60 kmph can be expected over the island, particularly in Central hilly areas, Northern, North central, Uva and Southern provinces and in Puttalam, Trincomalee and Batticaloa districts. Showers or thundershowers will occur at times over Sabaragamuwa, Central, Southern, Western, Uva and North-western provinces and in Mannar district. Heavy falls about 100 mm can be expected at some places in the above areas. &nbsp;Showers or thundershowers will occur at several places elsewhere. General public, Naval and fishing communities are requested to be attentive about future advisories issued by the Department of Meteorology in this regards.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/54ee7f56770975d15ba248f23cecd268_S.jpg"" alt=""Showers expected in several places"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">The Extremely Severe Cyclonic Storm ‘FANI’ (pronounced as FONI) over West-central Bay of Bengal to the Northeast of Sri Lanka, was located near latitude 15.2N, Longitude 84.1E at 11.30 p.m. of 01st May 2019, about 750 km northeast of Jaffna. It is likely to move north-northeastwards while moving away from the island towards the Odisha coast of India.Cloudy skies, Strong winds and showery conditions are expected to continue over the island and surrounding sea areas. Strong winds up to 60 kmph can be expected over the island, particularly in Central hilly areas, Northern, North central, Uva and Southern provinces and in Puttalam, Trincomalee and Batticaloa districts. Showers or thundershowers will occur at times over Sabaragamuwa, Central, Southern, Western, Uva and North-western provinces and in Mannar district. Heavy falls about 100 mm can be expected at some places in the above areas. &nbsp;Showers or thundershowers will occur at several places elsewhere. General public, Naval and fishing communities are requested to be attentive about future advisories issued by the Department of Meteorology in this regards.</p>
</div>",https://www.news.lk/news/business/item/25287-showers-expected-in-several-places,"Thu, 02 May 2019 12:09:54 +0530"
28,"Army find Record Stocks of Weapons, Explosives from east",sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/f20ac88b0d5a084dcd8d8b33cb68059c_S.jpg"" alt=""Army find Record Stocks of Weapons, Explosives from east"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">Army troops across the country while focusing their attention largely on Muslim-dominated concentrations during their intensified search and clear operations conducted in the past 12 hours in close coordination with sister services and Policemen succeeded in arresting several suspects and recovering a large cache of arms, ammunition, explosives, detonators, swords, det chords, gelignite sticks, warlike items and a detailed map of the ancient Seruwawila Buddhist temple from respective areas in Serunuwara, Sammanthurai, Eravur, Kalmunai, etc in the East and Kotiyakumbura, Kegalle under the Security Force Headquarters-West by Wednesday (1) afternoon.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/f20ac88b0d5a084dcd8d8b33cb68059c_S.jpg"" alt=""Army find Record Stocks of Weapons, Explosives from east"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">Army troops across the country while focusing their attention largely on Muslim-dominated concentrations during their intensified search and clear operations conducted in the past 12 hours in close coordination with sister services and Policemen succeeded in arresting several suspects and recovering a large cache of arms, ammunition, explosives, detonators, swords, det chords, gelignite sticks, warlike items and a detailed map of the ancient Seruwawila Buddhist temple from respective areas in Serunuwara, Sammanthurai, Eravur, Kalmunai, etc in the East and Kotiyakumbura, Kegalle under the Security Force Headquarters-West by Wednesday (1) afternoon.</p>
</div>",https://www.news.lk/news/sri-lanka/item/25286-army-find-record-stocks-of-weapons-explosives-from-east,"Thu, 02 May 2019 11:46:04 +0530"
29,Assets of terrorists to be frozen: Police,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/1946d14d555684c33bdb8cda5f5f2355_S.jpg"" alt=""Assets of terrorists to be frozen: Police"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">The assets of the terrorists involved in the eight terror attacks across the country had been identified and the Criminal Investigation Department (CID) was conducting measures to freeze their assets, Police Spokesman SP Ruwan Gunasekera said yesterday. He said they were compiling a list of assets belonging to these terrorists in line with the Convention on the Suppression of Terrorist Finance Act and the Prevention of Money Laundering Act.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/1946d14d555684c33bdb8cda5f5f2355_S.jpg"" alt=""Assets of terrorists to be frozen: Police"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">The assets of the terrorists involved in the eight terror attacks across the country had been identified and the Criminal Investigation Department (CID) was conducting measures to freeze their assets, Police Spokesman SP Ruwan Gunasekera said yesterday. He said they were compiling a list of assets belonging to these terrorists in line with the Convention on the Suppression of Terrorist Finance Act and the Prevention of Money Laundering Act.</p>
</div>",https://www.news.lk/news/political-current-affairs/item/25285-assets-of-terrorists-to-be-frozen-police,"Thu, 02 May 2019 11:02:21 +0530"
30,Sri Lanka outlines strategic plans to rebuild tourist industry,sports,"<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/db729e0d3d0136dc87588f0c104ad29f_S.jpg"" alt=""Sri Lanka outlines strategic plans to rebuild tourist industry"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">One week after the deadliest terror attacks perpetrated in the country since the end of the civil war, Sri Lanka Tourism discussed measures taken to ensure the safety and security of tourists and outlined strategic plans to rebuild tourism stakeholder confidence to ensure the vital recovery of the tourism industry that supports one in 10 families in Sri Lanka.</p>
</div>","<div class=""K2FeedImage""><img src=""https://www.news.lk/media/k2/items/cache/db729e0d3d0136dc87588f0c104ad29f_S.jpg"" alt=""Sri Lanka outlines strategic plans to rebuild tourist industry"" /></div><div class=""K2FeedIntroText""><p style=""text-align: justify;"">One week after the deadliest terror attacks perpetrated in the country since the end of the civil war, Sri Lanka Tourism discussed measures taken to ensure the safety and security of tourists and outlined strategic plans to rebuild tourism stakeholder confidence to ensure the vital recovery of the tourism industry that supports one in 10 families in Sri Lanka.</p>
</div>",https://www.news.lk/news/sri-lanka/item/25284-sri-lanka-outlines-strategic-plans-to-rebuild-tourist-industry,"Thu, 02 May 2019 10:07:21 +0530"
